ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
1;activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;org.activiti.engine.impl.persistence.entity.DeploymentEntityManager;deleteDeployment(String, boolean);[107];[114, 115, 116, 117];Left changes a if condition, that is reponsible for changing the value of the local variable nrOfProcessDefinitionsWithSameKey (incrementation);"Right adds a new IF statement; in case the condition is TRUE, it calls new mtethod using the objects of the local list timerStartJobs.";Yes;False;Left changes the condition that increments nrOfProcessDefinitionsWithSameKey, which only affects whether timer start jobs are deleted (the threshold check nrOfVersions - nrOfProcessDefinitionsWithSameKey <= 1). Right adds a new conditional block that invokes a new method using the existing timerStartJobs list. Right’s addition does not depend on or alter the count or its condition, and Left’s change does not affect the construction of timerStartJobs. In the merge, Left’s modified deletion decision is preserved and Right’s additional call can still execute as intended. No state element is computed inconsistently between L/R and the merge.
2;activiti;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior;execute(ActivityExecution);[112, 113, 114, 115, 116, 117, 110, 111];[118, 125, 126, 127];Left adds a new IF statement, which may set the field formKey of the local variable formKey, or throws an exception.;Right adds a new IF statement, which may call static external methods without using their returns.;Yes;False;"Left changes adjust the formKey handling to avoid an early cast and explicitly set the formKey only when the expression resolves to a String, otherwise throwing an ActivitiIllegalArgumentException. Right changes add a new conditional that invokes static methods with side effects and do not rely on or modify formKey. The areas of change do not overlap semantically: Left affects only task.formKey assignment and error handling; Right adds independent calls later. The merged result preserves Left’s behavior for formKey and includes Right’s additional side-effect calls. No state element gets a different value in Merge compared to L or R, and unchanged base behavior is preserved."
3;alluxio;dafe76c90024a915224264b4862b33f40cb8478c;tachyon.hadoop.HdfsFileInputStream;HdfsFileInputStream(TachyonFS, int, Path, Configuration, int);[44, 45];[52, 53, 56, 58];Changed the parameters of the debug method of the LOG attribute.;Renamed the variable mTachyonFile and changed it from local variable to class attribute.;No;False;Left only adjusts the LOG.debug call’s parameters in the constructor (logging change with no functional effect). Right promotes/renames the TachyonFile handle to a class field and uses it across methods, affecting state usage but independent of logging. The changes touch different concerns, do not compute different values for any shared state, and the merged result preserves both behaviors. Refactoring/renaming is non-conflicting per the criteria.
4;cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;io.cloudslang.lang.api.SlangImpl;getAllEventTypes();[116];[123, 124, 125];Left adds new values into a list;Right adds new values into a list;Yes;False;Both LEFT and RIGHT only add event types to the same returned Set in getAllEventTypes(). After merge, the set will contain the union of the new values, preserving each side’s added behavior and the base behavior. No state element is computed inconsistently, and duplicates are harmless in a Set.
5;cucumber-jvm;4505c156b6267c1b760deec570ddbfe047b42aa9;cuke4duke.internal.java.JavaLanguage;load(String);[38, 40];[36];Left adds a new IF statement, which may restrict the new addition of the local variable clazz on the field objectFactory.;Right changes generics allowing any type for the local variable clazz.;No;False;Left adds a runtime guard that further restricts when clazz is added to objectFactory (changing behavior by potentially adding fewer classes). Right only changes the generic type of clazz (e.g., to Class<?>), which is a compile-time typing change with no runtime effect. These changes affect different concerns and do not interfere: the merged code can keep the broader generics and the additional conditional, preserving both behaviors.
6;dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;io.dropwizard.setup.Bootstrap;Bootstrap(Application<T>);[71];[65, 67, 68, 69];Left did a refactoring, an extract method, created a method that returns the 'metricRegistry' attribute.;Created an instance of the JmxReporter.Builder class and passed 'metricRegistry' as a parameter.;No;False;"Left only refactors access to metricRegistry via a getter; Right changes how the JmxReporter is instantiated (Builder) but still uses the same metricRegistry and starts it. Both changes preserve behavior: the same registry is used, the same JVM metrics are registered, and the JMX reporter is started. No state element computes a different value in B, L, R vs. the merge."
7;druid;05168808c278c080c59c19e858d9471b316cd1f5;com.metamx.druid.loading.S3SegmentPusher;push(File, DataSegment);[66, 118, 139, 110];[105, 125];Left changes the object that will be returned by setting the object field binaryVersion.;Right set the field acl on object toPush, which is used by the returned object.;No;False;"Left sets the DataSegment.binaryVersion on the returned segment; Right sets the ACL on the S3Object (toPush) used for uploading index.zip. These affect different state: binaryVersion of the returned DataSegment vs. ACL of the upload object. The loadSpec in the returned segment depends on toPush.getKey(), not its ACL, so Right’s change does not alter Left’s behavior. Both changes can coexist without altering each other or the base behavior."
8;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.index.TransportIndexAction;executeIndexRequestOnPrimary(IndexRequest, IndexShard, MappingUpdatedAction);[196];[201];"Added a call to a set method ""seqNo"", and passed the value as a parameter to the IndexResponse constructor";Extract variable on the object created by the IndexResponse constructor;No;False;LEFT adds setting the request’s seqNo from the operation and passes seqNo into the IndexResponse constructor, changing observable behavior to include sequence numbers and ensuring replication uses them. RIGHT only refactors by extracting the constructed IndexResponse into a variable, which does not change behavior. When merged, the seqNo behavior is preserved and the refactor remains non-functional, so there is no semantic conflict.
9;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperationTests;testReplication();[106, 108, 125, 126];[116, 103];Extracted a variable from constructor TestReplicationOperation creating a TestPrimary object (Refactor) and added two assertThat method calls on the end of the method;Changed the generic used at the PlainActionFuture type on the listener variable and Changed the type of shardInfo to import directly the inner ShartInfo, instead as accessing it from its outer class;No;False;"LEFT refactors by extracting the TestPrimary instance before constructing TestReplicationOperation and adds two final assertions verifying local checkpoints; these are behavioral no-ops (tests only) and do not alter execution. RIGHT adjusts the PlainActionFuture generic type and simplifies ShardInfo type usage via import; these are type-level/compile-time changes without runtime effect. The changes touch different concerns and do not alter or interfere with each other’s computed values or the base behavior, so there is no semantic merge conflict."
10;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.IndexSettings;IndexSettings(IndexMetaData, Settings, Predicate<String>, IndexScopedSettings);[238];[246, 269];Added the initialization to the globalCheckPointInterval field getting from scopedSettings map;Added the initialization to the maxRefreshListeners field getting from scopedSettings map and added a call to addSettingsUpdateConsumer for the key that got the maxRefreshListeners;No;False;"LEFT initializes the globalCheckpointInterval from scopedSettings; RIGHT initializes maxRefreshListeners from scopedSettings and registers a dynamic update consumer for it. These changes affect different settings and fields, do not overlap, and do not alter each other’s behavior. The merge preserves both behaviors without interference."
11;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.bulk.TransportShardBulkAction;update(IndexMetaData, BulkShardRequest, IndexShard, long[], VersionType[], Translog.Location, int, BulkItemRequest);[268, 255];[244, 249, 266, 254];Added the parameter seqNo to both calls of the UpdateResopnse constructor;Added a SupressWarning annotation twice and refactored the WriteResult class to return its parameters via getResponse and getLocation (Refactor);No;False;"LEFT adds the seqNo argument to UpdateResponse constructor calls in the update method (INDEX/UPSERT and DELETE cases), enriching the response. RIGHT adds @SuppressWarnings and refactors WriteResult usage to getters (getResponse/getLocation). The changes affect different concerns (response construction vs. accessors/annotations) and are compatible when merged. No altered behavior is lost and no shared state is computed differently; thus, no semantic conflict."
12;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.TransportReplicationAction;doRun();[455, 458, 460];[457, 459];Left creates a new local variable, and assigns a value to it depending on a try, which was also changed by Left.;Right adds a new local variable and assings a value to it inside a try, which was chaged by Left.;Yes;False;Both sides add local variables around/in the same try-with-resources in doRun(), but these are independent, do not alter control flow, shared state, or the computed response. The method’s behavior—executing the replica operation, constructing the response, and replying—remains unchanged. Therefore, the integrated result preserves the behavior of Base, Left, and Right with no semantic interference.
13;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperation;execute();[98, 109];[113, 98, 99, 101, 119, 108, 110];Left creates a new local variable primaryRounting, while it also adds a new call for updateLocalCheckpointForShard on the field primary.;Right creates a new local variable primaryRounting and renames the local variable primaryId. It also adds a new call for replicaRequest on the field primaryResult.;No;False;"Left adds a call to update the primary’s local checkpoint after primary.perform(request) using the newly introduced primaryRouting; Right introduces the same local primaryRouting (and renames primaryId) and fetches the replicaRequest from primaryResult for replication. These changes are orthogonal and compatible—the merged code can both update the checkpoint and obtain/dispatch the replica request. No altered behavior is lost and no state is computed inconsistently."
14;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngineTests;testRecoverFromForeignTranslog();[2091];[2124];Left updates the method call for creating a new Index object. Now, it is also assigned a value for field seqNo.;Right updates the method call for creating a new EngineConfig object. Now, it is also assigned a value for field refreshListeners.;No;False;"Left adds a seqNo argument when constructing an Engine.Index operation; Right adds refreshListeners when constructing an EngineConfig. These changes touch different objects/parameters, occur on different lines, and are compatible API updates. The merged behavior preserves both the indexing behavior (seqNo handling) and engine configuration (refresh listeners), without altering test expectations."
15;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngine;InternalEngine(EngineConfig);[134];[161, 162, 163, 164];Left adds a new field in the class, and also assigns a value for it in the constructor.;Right adds a new IF statement, which whether a property on the object engineConfig is nulll.;No;False;"LEFT adds a new class field (e.g., openMode) and initializes it in the constructor; RIGHT adds a null-check on engineConfig (e.g., refresh listeners) and conditionally registers them. These changes affect different concerns and state: the new field assignment does not interact with the listener registration, and the null-check does not alter the semantics of the new field. Both behaviors can coexist without altering each other or the base behavior, so there is no semantic interference."
16;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;writeTo(StreamOutput);[140];[141];Left adds a call for method writeZLong on the out object sending a long value.;Right adds a call for method writeBoolean on the object out sending a boolean value.;Yes;True;"Both changes independently extend the serialization in writeTo by appending new fields (LEFT adds a long via writeZLong; RIGHT adds a boolean via writeBoolean). The readFrom method is unchanged and does not consume these new fields. Merging both results writes both extra values, altering the wire format differently than either LEFT or RIGHT alone, and breaking the base’s unchanged behavior. Thus the integrated change does not preserve LEFT or RIGHT behavior and constitutes a semantic conflict."
17;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;readFrom(StreamInput);[129];[130];Left adds a call for method readZLong on the in object.;Right adds a call for method readBoolean on the object in.;No;False;"Left adds reading a ZLong (seqNo) from the stream; Right adds reading a boolean (forcedRefresh). They target different fields and, when merged, are read sequentially after version. This matches the writeTo order (version -> seqNo -> forcedRefresh), so both behaviors are preserved and there is no semantic interference."
18;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;toXContent(XContentBuilder, Params);[163, 164, 165, 166];[160];Left adds two calls for method field on the object builder.;Right adds a call for method field on the object builder.;Yes;False;"Both LEFT and RIGHT add new builder.field(...) calls in toXContent, which are additive to the serialized output. They do not modify or remove existing fields or logic, and there is no indication they target the same key. The merged result will include all added fields, preserving LEFT, RIGHT, and base behaviors; thus no semantic interference."
19;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.cluster.metadata.MetaDataCreateIndexService;createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);[315];[304, 305, 309, 310, 312, 346, 300];Left adds one new parameter when creating the local variable indexService.;Right extracts a local variable (refactoring) and also adds a new local variable routingNumShards.;No;False;Left only adds an extra argument to indicesService.createIndex when creating indexService. Right refactors by extracting locals (e.g., shrinkFromIndex) and introduces routingNumShards used to set routing shard count in temporary and final IndexMetaData builders. These changes are orthogonal: the additional parameter to createIndex does not alter or depend on the routingNumShards logic, and the refactoring preserves behavior. Therefore, integrating both preserves Left’s and Right’s intended behaviors with no semantic interference.
20;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.update.TransportUpdateAction;shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);[224, 185, 254];[192, 249, 250];Left adds new parameters when creating the local variable update.;Right sets the field forcedRefresh of the local variable update;No;False;Left modifies the UpdateResponse construction by adding new argument(s) (e.g., seqNo), while Right sets the forcedRefresh flag on the created UpdateResponse. These changes affect different fields, do not overwrite each other, and the merged code can preserve both behaviors (seqNo recorded and forcedRefresh propagated). Hence, no semantic interference.
21;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.delete.TransportDeleteAction;executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);[136];[140];Left sets the field seqNo on object request, and added this value on the call to create the returned object DeleteResponse.;Right does a refactoring by extracting a variable, and them call the method to create the method return object.;No;False;Left adds semantic behavior: propagates seqNo to the request and includes it in the DeleteResponse. Right only refactors by extracting a variable and delegating creation of the return object without changing logic. These changes are orthogonal: the refactor does not alter computed values (version, seqNo, found, translog location), and the merge can preserve Left’s seqNo handling while keeping Right’s refactor. Therefore, no semantic interference.
22;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestNodesAction;getTableWithHeader(RestRequest);[];[153, 154, 156, 157, 158, 159];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;False;LEFT removes some table-modifying calls (likely removing certain columns), while RIGHT adjusts the parameters of remaining table-modifying calls (changing aliases/descriptions). In the targeted method, LEFT did not modify these lines, and RIGHT’s updates simply change metadata for existing addCell calls. The merged behavior can preserve both: removed columns stay removed and updated parameters apply to retained columns. No semantic interference with state values or preserved behavior.
23;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestIndicesAction;getTableWithHeader(RestRequest);[];[144, 147, 150, 153, 138, 141];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;True;Left removes certain table-modifying calls (e.g., header addCell calls) in getTableWithHeader, while Right changes the parameters passed to those same addCell calls (lines ~138–153). The state element is the Table’s header configuration. A merge cannot preserve both behaviors: either the calls are removed (losing Right’s parameter changes) or retained with modified parameters (violating Left’s removal). Hence, the integrated result fails to preserve one side’s altered behavior, indicating a semantic conflict.
24;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestShardsAction;getTableWithHeader(RestRequest);[];[112, 113];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No;True;Left removed certain table-modifying calls (e.g., addCell entries in getTableWithHeader), effectively removing some columns/headers from the cat shards output. Right changed the parameters of those same table-modifying calls (lines 112–113), altering header attributes for those columns. In any merged result, either the calls are kept (violating Left’s intent to remove them) or the calls remain removed (dropping Right’s parameter changes). Thus the state element (the Table’s header/schema) cannot preserve both changes simultaneously, indicating a semantic conflict.
25;elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;org.elasticsearch.test.ESSingleNodeTestCase;newNode();[171];[173, 174];"Changed the key parameter passed 
to put, to a constant with the same value (Extract variable)";"Changed the key parameter passed 
to two other puts, to a constant with the same value (Extract variable)";No;False;Both LEFT and RIGHT replaced string literal keys in Settings.put(...) with equivalent constants (same string values). These are refactorings that do not alter runtime behavior. When merged, all keys still map to the same values, so no state or behavior changes, hence no semantic conflict.
26;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.support.NestedInnerQueryParseSupport;setPathLevel();[193, 195, 197, 200];[199];"Left adds a new field, and use it to assign values for fields parentFilter and parentObjectMapper; it has the same behavior when compared to base commit.";Right changes the value assigned to childFilter;No;False;Left refactors how parentFilter and parentObjectMapper are set (using a new field) without changing behavior. Right changes the assignment of childFilter. These affect different state elements (parentFilter/parentObjectMapper vs childFilter) and are independent. The merged result preserves Left’s behavior for parent-related fields and Right’s new behavior for childFilter, so no semantic interference occurs.
27;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.MultiMatchQueryBuilder;doXContent(XContentBuilder, Params);[306, 367];[];"Changed the parameter sent to the startObject method but the value of the parameter remained the same;

Removed two if conditions that made calls to the field method by passing (""boost"", boost) and (""_name"", queryName).

Added a call to the printBoostAndQueryName method passing the builder object as a parameter.";Removed an if condition (rewrite! = Null) that used the field method of the builder object;Yes;False;LEFT refactors the emission of boost and _name to a helper (no behavior change) and keeps the startObject name unchanged. RIGHT removes the emission of the rewrite parameter. These changes affect different output fields and do not override or depend on each other. The merged result preserves LEFT’s behavior (boost/_name printed via helper) and RIGHT’s change (rewrite omitted), so no semantic interference.
28;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;testSynonymsAnalysis();[65, 66, 67, 68, 69, 70, 71, 76];[73, 75];"Left extracts a local variable home of the parameter used on method put. Now, it's used the return of createTempDir instead of createTempDir().toString();";Right extracts a local variable json from the parameter sent to method loadFromStream. It also replaced the method call loadFromClasspath to loadFromStream, which is done by the method return object of settingsBuilder.;No;False;Left extracts a Path variable 'home' and passes it to settings (equivalent to the previous toString()), and uses it to create/copy config files. Right extracts a 'json' resource path and switches from loadFromClasspath to loadFromStream with the same resource. These are independent refactor-like changes affecting different parts (path.home setting vs settings loading) and preserve behavior. The merged code can include both without altering computed settings or test outcomes.
29;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis();[229];[226, 228];Replaced the call to the createTempDir().toString() method with createHome();"Added a variable called Json containing a String with the path to the file commongrams_query_mode.json;
Replaced the loadFromClasspath method with loadFromStream;";No;False;"LEFT changes path.home to use createHome() so the test has a config/common_words.txt available; RIGHT refactors settings loading to use a json variable and loadFromStream. They touch different concerns (filesystem home vs. settings load mechanism). The merged result preserves both behaviors: settings are loaded from the resource stream and path.home points to a prepared home directory. No state element computed by L or R is altered incorrectly in the merge."
30;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testCommonGramsAnalysis();[144];[141, 143];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No;False;"Right changes switch settings loading to loadFromStream using the json resource path; Left changes the settings builder to add/adjust a put call (path.home). These affect different settings keys and are complementary. The merged code loads the analyzer configuration from the JSON resource and sets path.home, preserving both changes’ intended behavior without altering base behavior elsewhere."
31;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.KuromojiAnalysisTests;createAnalysisService();[196, 197, 198, 199, 200, 201, 202, 206];[204, 207];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.
Changed other local variables: empty_dict, dict, home, config and Files, not used by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No;False;Right changes the JSON resource identifier and continues to load settings via loadFromStream(json, ...). Left adjusts filesystem setup and adds/changes a put(...) call that references the same json variable but does not remove or override the loadFromStream usage. The resulting Settings still set path.home, load the analysis config from the JSON stream, and set the index version. There is no state where L or R’s intended behavior is lost in the merge, so no semantic interference.
32;elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;org.elasticsearch.index.query.SimpleIndexQueryParserTests;setup();[217];[208];Left set the fields type and id on the local variable doc. Refactoring;Right adds a new entry on the local obecjt settings.;No;False;"Left refactors by explicitly setting type and id on the local ParsedDocument doc; Right adds a new key to the Settings builder. They modify different local state (doc vs settings) and do not affect each other’s behavior or the base behavior, so no semantic interference."
33;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.Slurper;assignCollections();[288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287];[315, 331, 302];Left adds some if statements and changed the values of two variables: adminDb and oplogDb.;Right changes the value of oplogRefsCollection by calling a method of oplogDb;Yes;False;Left adds conditional selection of adminDb and oplogDb based on configured auth databases, but ultimately ensures oplogDb points to the local database (where the oplog lives) after authentication. Right changes oplogRefsCollection to be obtained from oplogDb. These changes are complementary: using oplogDb for refs relies on Left’s correct setup of oplogDb. Default behavior is preserved when no custom auth DBs are provided, and custom auth DBs work as intended. No altered behavior is lost, so there is no semantic conflict.
34;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[534, 646, 535, 536, 538, 539, 540, 541, 526];[561, 500, 567, 602, 475, 620, 655];Left changes the parameter used to assgin a value to field socketTimeout on local variable builder, sets the field isMongos on builder, and adds a new parameter used to instantiate the local variable scriptExecutable.;Right replaces the method calls of logger.info to logger.trace, and logger.warn to logger.error.;No;False;Left adds functional behavior: parses and sets isMongos, fixes the socketTimeout setting source, and updates scriptService.executable with an extra parameter. Right only changes logging levels (info->trace, warn->error), which does not affect program state. The merged result preserves Left’s functional changes and Right’s logging changes without altering computed state values.
