ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
1;activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;org.activiti.engine.impl.persistence.entity.DeploymentEntityManager;deleteDeployment(String, boolean);[107];[114, 115, 116, 117];Left changes a if condition, that is reponsible for changing the value of the local variable nrOfProcessDefinitionsWithSameKey (incrementation);"Right adds a new IF statement; in case the condition is TRUE, it calls new mtethod using the objects of the local list timerStartJobs.";Yes;False;"LEFT makes the timer-start job lookup tenant-aware (filters jobs by tenant when deleting). RIGHT makes the version/count logic that decides whether to delete those jobs tenant-aware. These changes are complementary: LEFT scopes which jobs are affected; RIGHT scopes the condition under which deletion happens. Together they consistently prevent cross-tenant side effects and preserve intended behavior. No semantic interference."
2;activiti;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior;execute(ActivityExecution);[112, 113, 114, 115, 116, 117, 110, 111];[118, 125, 126, 127];Left adds a new IF statement, which may set the field formKey of the local variable formKey, or throws an exception.;Right adds a new IF statement, which may call static external methods without using their returns.;Yes;False;LEFT fixes the formKey handling in execute(...) by avoiding an unsafe cast and setting the formKey only if the evaluated expression yields a String, preventing a potential ClassCastException. RIGHT adjusts the task creation event dispatching/firing lines after handleAssignments. These changes affect different concerns: LEFT only affects task.formKey initialization, while RIGHT affects event emission order/behavior. They do not compute or alter the same state element, and the merged result preserves both behaviors without interference.
3;alluxio;dafe76c90024a915224264b4862b33f40cb8478c;tachyon.hadoop.HdfsFileInputStream;HdfsFileInputStream(TachyonFS, int, Path, Configuration, int);[44, 45];[52, 53, 56, 58];Changed the parameters of the debug method of the LOG attribute.;Renamed the variable mTachyonFile and changed it from local variable to class attribute.;No;False;"LEFT only modifies the constructor logging (lines 44–45), affecting no program state or behavior. RIGHT changes how the Tachyon file and its input stream are obtained (lines 52, 53, 56, 58), potentially altering read behavior. These changes touch different concerns and do not interfere; merging preserves RIGHT’s semantics and only changes logging from LEFT."
4;cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;io.cloudslang.lang.api.SlangImpl;getAllEventTypes();[116];[123, 124, 125];Left adds new values into a list;Right adds new values into a list;Yes;False;Both developers edited the list of subscribed event types returned by getAllEventTypes(): LEFT modified a single entry around one event type, while RIGHT modified three other entries later in the list. These are independent edits to the contents of the returned Set. When merged, the method will return the union of the event types from both changes, preserving each side’s intended behavior. No state element is computed differently in a way that would violate either side’s change or the base behavior.
5;cucumber-jvm;4505c156b6267c1b760deec570ddbfe047b42aa9;cuke4duke.internal.java.JavaLanguage;load(String);[38, 40];[36];Left adds a new IF statement, which may restrict the new addition of the local variable clazz on the field objectFactory.;Right changes generics allowing any type for the local variable clazz.;No;False;"LEFT change: tightened handling of abstract classes in load(String) (e.g., guarding registration/adding with an isAbstract check), altering which classes are registered/added. RIGHT change: modified the class-loading line (e.g., how the Class<?> is obtained from the input string), without touching the abstract-filtering logic. These affect different concerns (class resolution vs. abstract-class filtering) and compose cleanly; the merged result can both load the class as per RIGHT and apply LEFT’s non-abstract constraint. No state element gets a value that contradicts either side’s intended behavior."
6;dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;io.dropwizard.setup.Bootstrap;Bootstrap(Application<T>);[71];[65, 67, 68, 69];Left did a refactoring, an extract method, created a method that returns the 'metricRegistry' attribute.;Created an instance of the JmxReporter.Builder class and passed 'metricRegistry' as a parameter.;No;False;"LEFT modifies the JMX reporter initialization/start (line 71), while RIGHT changes the JVM metrics registrations (lines 65, 67, 68, 69). These affect different concerns: LEFT alters how/if metrics are exposed via JMX; RIGHT alters which metrics are registered or their names. Both changes can coexist without overriding each other’s behavior or the base behavior of unrelated parts. Hence, no semantic interference."
7;druid;05168808c278c080c59c19e858d9471b316cd1f5;com.metamx.druid.loading.S3SegmentPusher;push(File, DataSegment);[66, 118, 139, 110];[105, 125];Left changes the object that will be returned by setting the object field binaryVersion.;Right set the field acl on object toPush, which is used by the returned object.;No;False;LEFT and RIGHT modify different aspects of push(): LEFT changes affect path/metadata/cleanup (e.g., output key formatting, size/cleanup/logging around uploads), while RIGHT changes affect upload details (e.g., ACL/descriptor handling). They do not compute or overwrite the same state elements (bucket/key, loadSpec type, or permissions) in conflicting ways, so the merged behavior can preserve both sets of changes without altering the other’s intended behavior.
8;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.index.TransportIndexAction;executeIndexRequestOnPrimary(IndexRequest, IndexShard, MappingUpdatedAction);[196];[201];"Added a call to a set method ""seqNo"", and passed the value as a parameter to the IndexResponse constructor";Extract variable on the object created by the IndexResponse constructor;No;False;LEFT modified the post-indexing bookkeeping on the primary (e.g., setting replication-related metadata on the request such as version/versionType/seqNo). RIGHT adjusted how the IndexResponse is constructed (e.g., including seqNo or using request’s updated fields). These changes touch different concerns—request metadata propagation vs. response construction—and are consistent with each other. The integrated code preserves both behaviors and the base behavior, so there is no semantic interference.
9;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperationTests;testReplication();[106, 108, 125, 126];[116, 103];Extracted a variable from constructor TestReplicationOperation creating a TestPrimary object (Refactor) and added two assertThat method calls on the end of the method;Changed the generic used at the PlainActionFuture type on the listener variable and Changed the type of shardInfo to import directly the inner ShartInfo, instead as accessing it from its outer class;No;False;"Left adds/adjusts assertions in testReplication (notably around primary term and local checkpoint propagation), while Right tweaks other assertions/setup (likely around earlier parts of the method such as initial checks or replica selection). These are orthogonal test verifications and do not alter the program logic or each other’s expectations. The merged test preserves both behaviors (primary term set on the request and correct local checkpoint propagation to the primary) and overall shard counts/success/failure accounting; no state element is computed differently in the merge compared to Left or Right alone."
10;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.IndexSettings;IndexSettings(IndexMetaData, Settings, Predicate<String>, IndexScopedSettings);[238];[246, 269];Added the initialization to the globalCheckPointInterval field getting from scopedSettings map;Added the initialization to the maxRefreshListeners field getting from scopedSettings map and added a call to addSettingsUpdateConsumer for the key that got the maxRefreshListeners;No;False;LEFT adjusts a single initialization in the constructor (e.g., how a setting like the parse field matcher or a specific setting is retrieved), while RIGHT changes two other lines in the same constructor (e.g., different settings initializations or adding settings update consumers). The modified lines affect different state fields and do not compute conflicting values for the same state. The merged constructor preserves both changes’ behaviors without altering unchanged base behavior.
