ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI
1;activiti;50d8e43eb5917c63abfbcdec1e68e510943f325a;org.activiti.engine.impl.persistence.entity.DeploymentEntityManager;deleteDeployment(String, boolean);[107];[114, 115, 116, 117];Left changes a if condition, that is reponsible for changing the value of the local variable nrOfProcessDefinitionsWithSameKey (incrementation);"Right adds a new IF statement; in case the condition is TRUE, it calls new mtethod using the objects of the local list timerStartJobs.";Yes
2;activiti;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior;execute(ActivityExecution);[112, 113, 114, 115, 116, 117, 110, 111];[118, 125, 126, 127];Left adds a new IF statement, which may set the field formKey of the local variable formKey, or throws an exception.;Right adds a new IF statement, which may call static external methods without using their returns.;Yes
3;alluxio;dafe76c90024a915224264b4862b33f40cb8478c;tachyon.hadoop.HdfsFileInputStream;HdfsFileInputStream(TachyonFS, int, Path, Configuration, int);[44, 45];[52, 53, 56, 58];Changed the parameters of the debug method of the LOG attribute.;Renamed the variable mTachyonFile and changed it from local variable to class attribute.;No
4;cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;io.cloudslang.lang.api.SlangImpl;getAllEventTypes();[116];[123, 124, 125];Left adds new values into a list;Right adds new values into a list;Yes
5;cucumber-jvm;4505c156b6267c1b760deec570ddbfe047b42aa9;cuke4duke.internal.java.JavaLanguage;load(String);[38, 40];[36];Left adds a new IF statement, which may restrict the new addition of the local variable clazz on the field objectFactory.;Right changes generics allowing any type for the local variable clazz.;No
6;dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;io.dropwizard.setup.Bootstrap;Bootstrap(Application<T>);[71];[65, 67, 68, 69];Left did a refactoring, an extract method, created a method that returns the 'metricRegistry' attribute.;Created an instance of the JmxReporter.Builder class and passed 'metricRegistry' as a parameter.;No
7;druid;05168808c278c080c59c19e858d9471b316cd1f5;com.metamx.druid.loading.S3SegmentPusher;push(File, DataSegment);[66, 118, 139, 110];[105, 125];Left changes the object that will be returned by setting the object field binaryVersion.;Right set the field acl on object toPush, which is used by the returned object.;No
8;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.index.TransportIndexAction;executeIndexRequestOnPrimary(IndexRequest, IndexShard, MappingUpdatedAction);[196];[201];"Added a call to a set method ""seqNo"", and passed the value as a parameter to the IndexResponse constructor";Extract variable on the object created by the IndexResponse constructor;No
9;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperationTests;testReplication();[106, 108, 125, 126];[116, 103];Extracted a variable from constructor TestReplicationOperation creating a TestPrimary object (Refactor) and added two assertThat method calls on the end of the method;Changed the generic used at the PlainActionFuture type on the listener variable and Changed the type of shardInfo to import directly the inner ShartInfo, instead as accessing it from its outer class;No
10;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.IndexSettings;IndexSettings(IndexMetaData, Settings, Predicate<String>, IndexScopedSettings);[238];[246, 269];Added the initialization to the globalCheckPointInterval field getting from scopedSettings map;Added the initialization to the maxRefreshListeners field getting from scopedSettings map and added a call to addSettingsUpdateConsumer for the key that got the maxRefreshListeners;No
11;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.bulk.TransportShardBulkAction;update(IndexMetaData, BulkShardRequest, IndexShard, long[], VersionType[], Translog.Location, int, BulkItemRequest);[268, 255];[244, 249, 266, 254];Added the parameter seqNo to both calls of the UpdateResopnse constructor;Added a SupressWarning annotation twice and refactored the WriteResult class to return its parameters via getResponse and getLocation (Refactor);No
12;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.TransportReplicationAction;doRun();[455, 458, 460];[457, 459];Left creates a new local variable, and assigns a value to it depending on a try, which was also changed by Left.;Right adds a new local variable and assings a value to it inside a try, which was chaged by Left.;Yes
13;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperation;execute();[98, 109];[113, 98, 99, 101, 119, 108, 110];Left creates a new local variable primaryRounting, while it also adds a new call for updateLocalCheckpointForShard on the field primary.;Right creates a new local variable primaryRounting and renames the local variable primaryId. It also adds a new call for replicaRequest on the field primaryResult.;No
14;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngineTests;testRecoverFromForeignTranslog();[2091];[2124];Left updates the method call for creating a new Index object. Now, it is also assigned a value for field seqNo.;Right updates the method call for creating a new EngineConfig object. Now, it is also assigned a value for field refreshListeners.;No
15;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.index.engine.InternalEngine;InternalEngine(EngineConfig);[134];[161, 162, 163, 164];Left adds a new field in the class, and also assigns a value for it in the constructor.;Right adds a new IF statement, which whether a property on the object engineConfig is nulll.;No
16;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;writeTo(StreamOutput);[140];[141];Left adds a call for method writeZLong on the out object sending a long value.;Right adds a call for method writeBoolean on the object out sending a boolean value.;Yes
17;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;readFrom(StreamInput);[129];[130];Left adds a call for method readZLong on the in object.;Right adds a call for method readBoolean on the object in.;No
18;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.DocWriteResponse;toXContent(XContentBuilder, Params);[163, 164, 165, 166];[160];Left adds two calls for method field on the object builder.;Right adds a call for method field on the object builder.;Yes
19;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.cluster.metadata.MetaDataCreateIndexService;createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);[315];[304, 305, 309, 310, 312, 346, 300];Left adds one new parameter when creating the local variable indexService.;Right extracts a local variable (refactoring) and also adds a new local variable routingNumShards.;No
20;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.update.TransportUpdateAction;shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);[224, 185, 254];[192, 249, 250];Left adds new parameters when creating the local variable update.;Right sets the field forcedRefresh of the local variable update;No
21;elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.delete.TransportDeleteAction;executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);[136];[140];Left sets the field seqNo on object request, and added this value on the call to create the returned object DeleteResponse.;Right does a refactoring by extracting a variable, and them call the method to create the method return object.;No
22;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestNodesAction;getTableWithHeader(RestRequest);[];[153, 154, 156, 157, 158, 159];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No
23;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestIndicesAction;getTableWithHeader(RestRequest);[];[144, 147, 150, 153, 138, 141];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No
24;elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;org.elasticsearch.rest.action.cat.RestShardsAction;getTableWithHeader(RestRequest);[];[112, 113];Removed calls to a method that modifies the table object;Changed parameters passed to a method that modifies the table object;No
25;elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;org.elasticsearch.test.ESSingleNodeTestCase;newNode();[171];[173, 174];"Changed the key parameter passed 
to put, to a constant with the same value (Extract variable)";"Changed the key parameter passed 
to two other puts, to a constant with the same value (Extract variable)";No
26;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.support.NestedInnerQueryParseSupport;setPathLevel();[193, 195, 197, 200];[199];"Left adds a new field, and use it to assign values for fields parentFilter and parentObjectMapper; it has the same behavior when compared to base commit.";Right changes the value assigned to childFilter;No
27;elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;org.elasticsearch.index.query.MultiMatchQueryBuilder;doXContent(XContentBuilder, Params);[306, 367];[];"Changed the parameter sent to the startObject method but the value of the parameter remained the same;

Removed two if conditions that made calls to the field method by passing (""boost"", boost) and (""_name"", queryName).

Added a call to the printBoostAndQueryName method passing the builder object as a parameter.";Removed an if condition (rewrite! = Null) that used the field method of the builder object;Yes
28;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;testSynonymsAnalysis();[65, 66, 67, 68, 69, 70, 71, 76];[73, 75];"Left extracts a local variable home of the parameter used on method put. Now, it's used the return of createTempDir instead of createTempDir().toString();";Right extracts a local variable json from the parameter sent to method loadFromStream. It also replaced the method call loadFromClasspath to loadFromStream, which is done by the method return object of settingsBuilder.;No
29;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testQueryModeCommonGramsAnalysis();[229];[226, 228];Replaced the call to the createTempDir().toString() method with createHome();"Added a variable called Json containing a String with the path to the file commongrams_query_mode.json;
Replaced the loadFromClasspath method with loadFromStream;";No
30;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;testCommonGramsAnalysis();[144];[141, 143];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No
31;elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.KuromojiAnalysisTests;createAnalysisService();[196, 197, 198, 199, 200, 201, 202, 206];[204, 207];"Left changed the local settings variable with a call to put() method in settingsBuilder(), which uses the local variable called ""json"" changed by right.
Changed other local variables: empty_dict, dict, home, config and Files, not used by right.";Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder();No
32;elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;org.elasticsearch.index.query.SimpleIndexQueryParserTests;setup();[217];[208];Left set the fields type and id on the local variable doc. Refactoring;Right adds a new entry on the local obecjt settings.;No
33;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.Slurper;assignCollections();[288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287];[315, 331, 302];Left adds some if statements and changed the values of two variables: adminDb and oplogDb.;Right changes the value of oplogRefsCollection by calling a method of oplogDb;Yes
34;elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[534, 646, 535, 536, 538, 539, 540, 541, 526];[561, 500, 567, 602, 475, 620, 655];Left changes the parameter used to assgin a value to field socketTimeout on local variable builder, sets the field isMongos on builder, and adds a new parameter used to instantiate the local variable scriptExecutable.;Right replaces the method calls of logger.info to logger.trace, and logger.warn to logger.error.;No
35;elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;org.elasticsearch.river.mongodb.MongoDBRiverDefinition;parseSettings(String, String, RiverSettings, ScriptService);[714, 699, 683, 717, 686, 703];[576, 515, 582, 617, 490, 635, 670];Left sets two fields on local variable builder.;Right replaces the method calls of logger.debug to logger.trace, and logger.warn to logger.error.;No
