project;merge commit;class;method;result_sdg;result_sa;is_equal;SdgCreated;HasSourcedAndSink;DetailedLineVios;Left;Right;LOI;Original Sample
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;Slurper;assignCollections;TRUE POSITIVE;TRUE POSITIVE;True; Yes; Yes; [boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 322)]; [288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287]; [315, 331, 302];Yes;Roberto
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;MongoDBRiverDefinition;parseSettings;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; Yes; []; [714, 699, 683, 717, 686, 703]; [576, 515, 582, 617, 490, 635, 670];No;Roberto
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper;addToStream;FALSE POSITIVE;FALSE NEGATIVE;False; Yes; Yes; [void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 736) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 736) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 737) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 737) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 738) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 738) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 739) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 739) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 741) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 741) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 742) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 747), void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 742) -> void org.elasticsearch.river.mongodb.Slurper.addToStream(org.elasticsearch.river.mongodb.Operation, org.elasticsearch.river.mongodb.Timestamp, com.mongodb.DBObject, java.lang.String) (line 751)]; [752, 747, 748, 751]; [736, 737, 738, 739, 740, 741, 742, 743];No;Roberto
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;MongoDBRiverDefinition;parseSettings;FALSE POSITIVE;TRUE NEGATIVE;False; Yes; Yes; [org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 526) -> org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 561), org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 526) -> org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 567), org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 526) -> org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 602), org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 526) -> org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String, java.lang.String, org.elasticsearch.river.RiverSettings, org.elasticsearch.script.ScriptService) (line 620)]; [534, 646, 535, 536, 538, 539, 540, 541, 526]; [561, 500, 567, 602, 475, 620, 655];No;Roberto
cucumber-jvm;4505c156b6267c1b760deec570ddbfe047b42aa9;JavaLanguage;load;FALSE POSITIVE;FALSE POSITIVE;True; Yes; Yes; [void cuke4duke.internal.java.JavaLanguage.load(java.lang.String) (line 36) -> void cuke4duke.internal.java.JavaLanguage.load(java.lang.String) (line 38)]; [38, 40]; [36];No;Roberto
pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;PushManager;handleConnectionClosure;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; Yes; []; [520, 510]; [515, 500, 502, 503];No;Mining
OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;MultiShortestPathTree;dominates;TRUE POSITIVE;TRUE POSITIVE;True; Yes; Yes; [boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 141), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 144), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 146), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 147), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 148), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 149), boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 123) -> boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.State) (line 152)]; [144, 146, 147, 148, 149, 152, 141]; [123];Yes;Roberto
HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;HikariPool;addConnection;TRUE POSITIVE;TRUE POSITIVE;True; Yes; Yes; [void com.zaxxer.hikari.HikariPool.addConnection() (line 339) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 356), void com.zaxxer.hikari.HikariPool.addConnection() (line 339) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 365), void com.zaxxer.hikari.HikariPool.addConnection() (line 339) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 372), void com.zaxxer.hikari.HikariPool.addConnection() (line 339) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 374), void com.zaxxer.hikari.HikariPool.addConnection() (line 340) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 356), void com.zaxxer.hikari.HikariPool.addConnection() (line 340) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 365), void com.zaxxer.hikari.HikariPool.addConnection() (line 340) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 372), void com.zaxxer.hikari.HikariPool.addConnection() (line 340) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 374), void com.zaxxer.hikari.HikariPool.addConnection() (line 342) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 356), void com.zaxxer.hikari.HikariPool.addConnection() (line 342) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 365), void com.zaxxer.hikari.HikariPool.addConnection() (line 342) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 372), void com.zaxxer.hikari.HikariPool.addConnection() (line 342) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 374), void com.zaxxer.hikari.HikariPool.addConnection() (line 346) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 356), void com.zaxxer.hikari.HikariPool.addConnection() (line 346) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 365), void com.zaxxer.hikari.HikariPool.addConnection() (line 346) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 372), void com.zaxxer.hikari.HikariPool.addConnection() (line 346) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 374), void com.zaxxer.hikari.HikariPool.addConnection() (line 356) -> void com.zaxxer.hikari.HikariPool.addConnection() (line 362)]; [356, 372, 374, 365]; [339, 340, 341, 342, 343, 344, 345, 362, 346, 348];Yes;Mining
HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;HikariConfig;validate;FALSE NEGATIVE;FALSE NEGATIVE;True; Yes; No; -; [577, 578, 579, 580, 581, 582]; [];Yes;Roberto
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3ApplicationConfiguration;copy;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; Yes; []; [96, 97, 98, 99]; [107];No;DeSouza
